epi_week,disease,no._of_cases
2015-W18,Acute Diarrhoea,515
2015-W18,Chickenpox,13
2015-W19,Acute Upper Respiratory Tract infections,2757
2015-W19,Acute Conjunctivitis,79
2015-W19,Acute Diarrhoea,482
2015-W19,Chickenpox,21
2015-W20,Acute Upper Respiratory Tract infections,2828
2015-W20,Acute Conjunctivitis,82
2015-W20,Acute Diarrhoea,495
2015-W20,Chickenpox,20
2015-W21,Acute Upper Respiratory Tract infections,3001
2015-W21,Acute Conjunctivitis,94
2015-W21,Acute Diarrhoea,492
2015-W21,Chickenpox,16
2015-W22,Acute Upper Respiratory Tract infections,2844
2015-W22,Acute Conjunctivitis,80
2015-W22,Acute Diarrhoea,422
2015-W22,Chickenpox,13
2015-W23,Acute Upper Respiratory Tract infections,2637
2015-W23,Acute Conjunctivitis,79
2015-W23,Acute Diarrhoea,422
2015-W23,Chickenpox,12
2015-W24,Acute Upper Respiratory Tract infections,2631
2015-W24,Acute Conjunctivitis,65
2015-W24,Acute Diarrhoea,399
2015-W24,Chickenpox,10
2015-W25,Acute Upper Respiratory Tract infections,2651
2015-W25,Acute Conjunctivitis,69
2015-W25,Acute Diarrhoea,442
2015-W25,Chickenpox,12
2015-W26,Acute Upper Respiratory Tract infections,2319
2015-W26,Acute Conjunctivitis,81
2015-W26,Acute Diarrhoea,493
2015-W26,Chickenpox,11
2015-W27,Acute Upper Respiratory Tract infections,2357
2015-W27,Acute Conjunctivitis,83
2015-W27,Acute Diarrhoea,530
2015-W27,Chickenpox,13
2015-W28,Acute Upper Respiratory Tract infections,2318
2015-W28,Acute Conjunctivitis,68
2015-W28,Acute Diarrhoea,554
2015-W28,Chickenpox,12
2015-W29,Acute Upper Respiratory Tract infections,2455
2015-W29,Acute Conjunctivitis,70
2015-W29,Acute Diarrhoea,555
2015-W29,Chickenpox,11
2015-W30,Acute Upper Respiratory Tract infections,2392
2015-W30,Acute Conjunctivitis,76
2015-W30,Acute Diarrhoea,510
2015-W30,Chickenpox,9
2015-W31,Acute Upper Respiratory Tract infections,2475
2015-W31,Acute Conjunctivitis,74
2015-W31,Acute Diarrhoea,516
2015-W31,Chickenpox,13
2015-W32,Acute Upper Respiratory Tract infections,2880
2015-W32,Acute Conjunctivitis,76
2015-W32,Acute Diarrhoea,576
2015-W32,Chickenpox,13
2015-W33,Acute Upper Respiratory Tract infections,2810
2015-W33,Acute Conjunctivitis,78
2015-W33,Acute Diarrhoea,517
2015-W33,Chickenpox,15
2015-W34,Acute Upper Respiratory Tract infections,2625
2015-W34,Acute Conjunctivitis,80
2015-W34,Acute Diarrhoea,477
2015-W34,Chickenpox,17
2015-W35,Acute Upper Respiratory Tract infections,2423
2015-W35,Acute Conjunctivitis,75
2015-W35,Acute Diarrhoea,439
2015-W35,Chickenpox,12
2015-W36,Acute Upper Respiratory Tract infections,2280
2015-W36,Acute Conjunctivitis,84
2015-W36,Acute Diarrhoea,396
2015-W36,Chickenpox,15
2015-W37,Acute Upper Respiratory Tract infections,2821
2015-W37,Acute Conjunctivitis,95
2015-W37,Acute Diarrhoea,413
2015-W37,Chickenpox,14
2015-W38,Acute Upper Respiratory Tract infections,2738
2015-W38,Acute Conjunctivitis,97
2015-W38,Acute Diarrhoea,430
2015-W38,Chickenpox,16
2015-W39,Acute Upper Respiratory Tract infections,2929
2015-W39,Acute Conjunctivitis,101
2015-W39,Acute Diarrhoea,395
2015-W39,Chickenpox,14
2015-W40,Acute Upper Respiratory Tract infections,2619
2015-W40,Acute Conjunctivitis,84
2015-W40,Acute Diarrhoea,433
2015-W40,Chickenpox,14
2015-W41,Acute Upper Respiratory Tract infections,2529
2015-W41,Acute Conjunctivitis,75
2015-W41,Acute Diarrhoea,443
2015-W41,Chickenpox,13
2015-W42,Acute Upper Respiratory Tract infections,2612
2015-W42,Acute Conjunctivitis,81
2015-W42,Acute Diarrhoea,452
2015-W42,Chickenpox,12
2015-W43,Acute Upper Respiratory Tract infections,2588
2015-W43,Acute Conjunctivitis,88
2015-W43,Acute Diarrhoea,432
2015-W43,Chickenpox,13
2015-W44,Acute Upper Respiratory Tract infections,2533
2015-W44,Acute Conjunctivitis,75
2015-W44,Acute Diarrhoea,453
2015-W44,Chickenpox,14
2015-W45,Acute Upper Respiratory Tract infections,2721
2015-W45,Acute Conjunctivitis,71
2015-W45,Acute Diarrhoea,519
2015-W45,Chickenpox,17
2015-W46,Acute Upper Respiratory Tract infections,2673
2015-W46,Acute Conjunctivitis,70
2015-W46,Acute Diarrhoea,460
2015-W46,Chickenpox,11
2015-W47,Acute Upper Respiratory Tract infections,2488
2015-W47,Acute Conjunctivitis,65
2015-W47,Acute Diarrhoea,455
2015-W47,Chickenpox,13
2015-W48,Acute Upper Respiratory Tract infections,2455
2015-W48,Acute Conjunctivitis,68
2015-W48,Acute Diarrhoea,447
2015-W48,Chickenpox,7
2015-W49,Acute Upper Respiratory Tract infections,2319
2015-W49,Acute Conjunctivitis,76
2015-W49,Acute Diarrhoea,438
2015-W49,Chickenpox,9
2015-W50,Acute Upper Respiratory Tract infections,2304
2015-W50,Acute Conjunctivitis,77
2015-W50,Acute Diarrhoea,429
2015-W50,Chickenpox,10
2015-W51,Acute Upper Respiratory Tract infections,2414
2015-W51,Acute Conjunctivitis,89
2015-W51,Acute Diarrhoea,436
2015-W51,Chickenpox,15
2015-W52,Acute Upper Respiratory Tract infections,2494
2015-W52,Acute Conjunctivitis,97
2015-W52,Acute Diarrhoea,468
2015-W52,Chickenpox,15
2016-W01,Acute Upper Respiratory Tract infections,2604
2016-W01,Acute Conjunctivitis,94
2016-W01,Acute Diarrhoea,492
2016-W01,Chickenpox,15
2016-W02,Acute Upper Respiratory Tract infections,2775
2016-W02,Acute Conjunctivitis,86
2016-W02,Acute Diarrhoea,513
2016-W02,Chickenpox,15
2016-W03,Acute Upper Respiratory Tract infections,2946
2016-W03,Acute Conjunctivitis,83
2016-W03,Acute Diarrhoea,521
2016-W03,Chickenpox,16
2016-W04,Acute Upper Respiratory Tract infections,3111
2016-W04,Acute Conjunctivitis,62
2016-W04,Acute Diarrhoea,529
2016-W04,Chickenpox,14
2016-W05,Acute Upper Respiratory Tract infections,3125
2016-W05,Acute Conjunctivitis,75
2016-W05,Acute Diarrhoea,519
2016-W05,Chickenpox,11
2016-W06,Acute Upper Respiratory Tract infections,3740
2016-W06,Acute Conjunctivitis,92
2016-W06,Acute Diarrhoea,624
2016-W06,Chickenpox,17
2016-W07,Acute Upper Respiratory Tract infections,3174
2016-W07,Acute Conjunctivitis,87
2016-W07,Acute Diarrhoea,538
2016-W07,Chickenpox,17
2016-W08,Acute Upper Respiratory Tract infections,3148
2016-W08,Acute Conjunctivitis,82
2016-W08,Acute Diarrhoea,508
2016-W08,Chickenpox,13
2016-W09,Acute Upper Respiratory Tract infections,3001
2016-W09,Acute Conjunctivitis,86
2016-W09,Acute Diarrhoea,456
2016-W09,Chickenpox,15
2016-W10,Acute Upper Respiratory Tract infections,2702
2016-W10,Acute Conjunctivitis,81
2016-W10,Acute Diarrhoea,490
2016-W10,Chickenpox,15
2016-W11,Acute Upper Respiratory Tract infections,2382
2016-W11,Acute Conjunctivitis,73
2016-W11,Acute Diarrhoea,419
2016-W11,Chickenpox,14
2016-W12,Acute Upper Respiratory Tract infections,2596
2016-W12,Acute Conjunctivitis,91
2016-W12,Acute Diarrhoea,472
2016-W12,Chickenpox,18
2016-W13,Acute Upper Respiratory Tract infections,2530
2016-W13,Acute Conjunctivitis,78
2016-W13,Acute Diarrhoea,449
2016-W13,Chickenpox,14
2016-W14,Acute Upper Respiratory Tract infections,2417
2016-W14,Acute Conjunctivitis,71
2016-W14,Acute Diarrhoea,465
2016-W14,Chickenpox,14
2016-W15,Acute Upper Respiratory Tract infections,2383
2016-W15,Acute Conjunctivitis,73
2016-W15,Acute Diarrhoea,475
2016-W15,Chickenpox,12
2016-W16,Acute Upper Respiratory Tract infections,2487
2016-W16,Acute Conjunctivitis,71
2016-W16,Acute Diarrhoea,471
2016-W16,Chickenpox,14
2016-W17,Acute Upper Respiratory Tract infections,2520
2016-W17,Acute Conjunctivitis,74
2016-W17,Acute Diarrhoea,494
2016-W17,Chickenpox,14
2016-W18,Acute Upper Respiratory Tract infections,2715
2016-W18,Acute Conjunctivitis,73
2016-W18,Acute Diarrhoea,516
2016-W18,Chickenpox,16
2016-W19,Acute Upper Respiratory Tract infections,2648
2016-W19,Acute Conjunctivitis,73
2016-W19,Acute Diarrhoea,504
2016-W19,Chickenpox,15
2016-W20,Acute Upper Respiratory Tract infections,2853
2016-W20,Acute Conjunctivitis,72
2016-W20,Acute Diarrhoea,547
2016-W20,Chickenpox,14
2016-W21,Acute Upper Respiratory Tract infections,2775
2016-W21,Acute Conjunctivitis,70
2016-W21,Acute Diarrhoea,492
2016-W21,Chickenpox,15
2016-W22,Acute Upper Respiratory Tract infections,2634
2016-W22,Acute Conjunctivitis,70
2016-W22,Acute Diarrhoea,453
2016-W22,Chickenpox,9
2016-W23,Acute Upper Respiratory Tract infections,2521
2016-W23,Acute Conjunctivitis,71
2016-W23,Acute Diarrhoea,418
2016-W23,Chickenpox,10
2016-W24,Acute Upper Respiratory Tract infections,2564
2016-W24,Acute Conjunctivitis,66
2016-W24,Acute Diarrhoea,445
2016-W24,Chickenpox,12
2016-W25,Acute Upper Respiratory Tract infections,2819
2016-W25,Acute Conjunctivitis,77
2016-W25,Acute Diarrhoea,445
2016-W25,Chickenpox,11
2016-W26,Acute Upper Respiratory Tract infections,3021
2016-W26,Acute Conjunctivitis,83
2016-W26,Acute Diarrhoea,521
2016-W26,Chickenpox,15
2016-W27,Acute Upper Respiratory Tract infections,2989
2016-W27,Acute Conjunctivitis,84
2016-W27,Acute Diarrhoea,634
2016-W27,Chickenpox,19
2016-W28,Acute Upper Respiratory Tract infections,2940
2016-W28,Acute Conjunctivitis,78
2016-W28,Acute Diarrhoea,593
2016-W28,Chickenpox,13
2016-W29,Acute Upper Respiratory Tract infections,3427
2016-W29,Acute Conjunctivitis,72
2016-W29,Acute Diarrhoea,587
2016-W29,Chickenpox,11
2016-W30,Acute Upper Respiratory Tract infections,3566
2016-W30,Acute Conjunctivitis,74
2016-W30,Acute Diarrhoea,571
2016-W30,Chickenpox,14
2016-W31,Acute Upper Respiratory Tract infections,3499
2016-W31,Acute Conjunctivitis,83
2016-W31,Acute Diarrhoea,551
2016-W31,Chickenpox,12
2016-W32,Acute Upper Respiratory Tract infections,3233
2016-W32,Acute Conjunctivitis,81
2016-W32,Acute Diarrhoea,592
2016-W32,Chickenpox,17
2016-W33,Acute Upper Respiratory Tract infections,2834
2016-W33,Acute Conjunctivitis,77
2016-W33,Acute Diarrhoea,550
2016-W33,Chickenpox,13
2016-W34,Acute Upper Respiratory Tract infections,2687
2016-W34,Acute Conjunctivitis,78
2016-W34,Acute Diarrhoea,521
2016-W34,Chickenpox,14
2016-W35,Acute Upper Respiratory Tract infections,2573
2016-W35,Acute Conjunctivitis,82
2016-W35,Acute Diarrhoea,501
2016-W35,Chickenpox,15
2016-W36,Acute Upper Respiratory Tract infections,2371
2016-W36,Acute Conjunctivitis,75
2016-W36,Acute Diarrhoea,453
2016-W36,Chickenpox,10
2016-W37,Acute Upper Respiratory Tract infections,2566
2016-W37,Acute Conjunctivitis,88
2016-W37,Acute Diarrhoea,617
2016-W37,Chickenpox,14
2016-W38,Acute Upper Respiratory Tract infections,2449
2016-W38,Acute Conjunctivitis,83
2016-W38,Acute Diarrhoea,554
2016-W38,Chickenpox,11
2016-W39,Acute Upper Respiratory Tract infections,2384
2016-W39,Acute Conjunctivitis,84
2016-W39,Acute Diarrhoea,525
2016-W39,Chickenpox,17
2016-W40,Acute Upper Respiratory Tract infections,2378
2016-W40,Acute Conjunctivitis,73
2016-W40,Acute Diarrhoea,559
2016-W40,Chickenpox,14
2016-W41,Acute Upper Respiratory Tract infections,2423
2016-W41,Acute Conjunctivitis,78
2016-W41,Acute Diarrhoea,582
2016-W41,Chickenpox,20
2016-W42,Acute Upper Respiratory Tract infections,2408
2016-W42,Acute Conjunctivitis,76
2016-W42,Acute Diarrhoea,565
2016-W42,Chickenpox,19
2016-W43,Acute Upper Respiratory Tract infections,2398
2016-W43,Acute Conjunctivitis,79
2016-W43,Acute Diarrhoea,558
2016-W43,Chickenpox,15
2016-W44,Acute Upper Respiratory Tract infections,2462
2016-W44,Acute Conjunctivitis,82
2016-W44,Acute Diarrhoea,568
2016-W44,Chickenpox,13
2016-W45,Acute Upper Respiratory Tract infections,2598
2016-W45,Acute Conjunctivitis,78
2016-W45,Acute Diarrhoea,554
2016-W45,Chickenpox,16
2016-W46,Acute Upper Respiratory Tract infections,2651
2016-W46,Acute Conjunctivitis,84
2016-W46,Acute Diarrhoea,519
2016-W46,Chickenpox,11
2016-W47,Acute Upper Respiratory Tract infections,2620
2016-W47,Acute Conjunctivitis,87
2016-W47,Acute Diarrhoea,512
2016-W47,Chickenpox,14
2016-W48,Acute Upper Respiratory Tract infections,2589
2016-W48,Acute Conjunctivitis,100
2016-W48,Acute Diarrhoea,489
2016-W48,Chickenpox,14
2016-W49,Acute Upper Respiratory Tract infections,2377
2016-W49,Acute Conjunctivitis,102
2016-W49,Acute Diarrhoea,479
2016-W49,Chickenpox,11
2016-W50,Acute Upper Respiratory Tract infections,2410
2016-W50,Acute Conjunctivitis,101
2016-W50,Acute Diarrhoea,427
2016-W50,Chickenpox,13
2016-W51,Acute Upper Respiratory Tract infections,2275
2016-W51,Acute Conjunctivitis,92
2016-W51,Acute Diarrhoea,448
2016-W51,Chickenpox,11
2016-W52,Acute Upper Respiratory Tract infections,2493
2016-W52,Acute Conjunctivitis,98
2016-W52,Acute Diarrhoea,458
2016-W52,Chickenpox,12
2017-W01,Acute Upper Respiratory Tract infections,2721
2017-W01,Acute Conjunctivitis,106
2017-W01,Acute Diarrhoea,518
2017-W01,Chickenpox,20
2017-W02,Acute Upper Respiratory Tract infections,2864
2017-W02,Acute Conjunctivitis,91
2017-W02,Acute Diarrhoea,543
2017-W02,Chickenpox,17
2017-W03,Acute Upper Respiratory Tract infections,3060
2017-W03,Acute Conjunctivitis,91
2017-W03,Acute Diarrhoea,558
2017-W03,Chickenpox,16
2017-W04,Acute Upper Respiratory Tract infections,3002
2017-W04,Acute Conjunctivitis,82
2017-W04,Acute Diarrhoea,509
2017-W04,Chickenpox,13
2017-W05,Acute Upper Respiratory Tract infections,3521
2017-W05,Acute Conjunctivitis,98
2017-W05,Acute Diarrhoea,583
2017-W05,Chickenpox,17
